Images,Labels
artifacts/data_ingestion/data/dataset\rain\1178.jpg,rain
artifacts/data_ingestion/data/dataset\glaze\6248.jpg,glaze
artifacts/data_ingestion/data/dataset\rain\1496.jpg,rain
artifacts/data_ingestion/data/dataset\glaze\6636.jpg,glaze
artifacts/data_ingestion/data/dataset\glaze\6719.jpg,glaze
artifacts/data_ingestion/data/dataset\rainbow\0742.jpg,rainbow
artifacts/data_ingestion/data/dataset\snow\0887.jpg,snow
artifacts/data_ingestion/data/dataset\lightning\2058.jpg,lightning
artifacts/data_ingestion/data/dataset\sandstorm\3165.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rain\1685.jpg,rain
artifacts/data_ingestion/data/dataset\rime\5971.jpg,rime
artifacts/data_ingestion/data/dataset\rime\5969.jpg,rime
artifacts/data_ingestion/data/dataset\rain\1372.jpg,rain
artifacts/data_ingestion/data/dataset\snow\1427.jpg,snow
artifacts/data_ingestion/data/dataset\glaze\6509.jpg,glaze
artifacts/data_ingestion/data/dataset\dew\2630.jpg,dew
artifacts/data_ingestion/data/dataset\frost\3897.jpg,frost
artifacts/data_ingestion/data/dataset\snow\0965.jpg,snow
artifacts/data_ingestion/data/dataset\fogsmog\4410.jpg,fogsmog
artifacts/data_ingestion/data/dataset\sandstorm\3128.jpg,sandstorm
artifacts/data_ingestion/data/dataset\hail\0250.jpg,hail
artifacts/data_ingestion/data/dataset\rain\1627.jpg,rain
artifacts/data_ingestion/data/dataset\sandstorm\3391.jpg,sandstorm
artifacts/data_ingestion/data/dataset\fogsmog\4365.jpg,fogsmog
artifacts/data_ingestion/data/dataset\lightning\1963.jpg,lightning
artifacts/data_ingestion/data/dataset\lightning\1945.jpg,lightning
artifacts/data_ingestion/data/dataset\hail\0415.jpg,hail
artifacts/data_ingestion/data/dataset\dew\2269.jpg,dew
artifacts/data_ingestion/data/dataset\frost\3667.jpg,frost
artifacts/data_ingestion/data/dataset\rain\1476.jpg,rain
artifacts/data_ingestion/data/dataset\rain\1651.jpg,rain
artifacts/data_ingestion/data/dataset\sandstorm\2926.jpg,sandstorm
artifacts/data_ingestion/data/dataset\sandstorm\3444.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rainbow\0636.jpg,rainbow
artifacts/data_ingestion/data/dataset\rime\4989.jpg,rime
artifacts/data_ingestion/data/dataset\rain\1175.jpg,rain
artifacts/data_ingestion/data/dataset\hail\0096.jpg,hail
artifacts/data_ingestion/data/dataset\lightning\2081.jpg,lightning
artifacts/data_ingestion/data/dataset\glaze\6630.jpg,glaze
artifacts/data_ingestion/data/dataset\rainbow\0625.jpg,rainbow
artifacts/data_ingestion/data/dataset\rain\105.jpg,rain
artifacts/data_ingestion/data/dataset\rime\5282.jpg,rime
artifacts/data_ingestion/data/dataset\rainbow\0704.jpg,rainbow
artifacts/data_ingestion/data/dataset\rainbow\0702.jpg,rainbow
artifacts/data_ingestion/data/dataset\glaze\6168.jpg,glaze
artifacts/data_ingestion/data/dataset\glaze\6312.jpg,glaze
artifacts/data_ingestion/data/dataset\snow\1278.jpg,snow
artifacts/data_ingestion/data/dataset\frost\4069.jpg,frost
artifacts/data_ingestion/data/dataset\sandstorm\3360.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rain\1245.jpg,rain
artifacts/data_ingestion/data/dataset\dew\2601.jpg,dew
artifacts/data_ingestion/data/dataset\dew\2849.jpg,dew
artifacts/data_ingestion/data/dataset\rime\5026.jpg,rime
artifacts/data_ingestion/data/dataset\sandstorm\3356.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rain\1752.jpg,rain
artifacts/data_ingestion/data/dataset\snow\1166.jpg,snow
artifacts/data_ingestion/data/dataset\lightning\2148.jpg,lightning
artifacts/data_ingestion/data/dataset\frost\3962.jpg,frost
artifacts/data_ingestion/data/dataset\frost\3824.jpg,frost
artifacts/data_ingestion/data/dataset\fogsmog\4505.jpg,fogsmog
artifacts/data_ingestion/data/dataset\rain\1351.jpg,rain
artifacts/data_ingestion/data/dataset\sandstorm\3290.jpg,sandstorm
artifacts/data_ingestion/data/dataset\lightning\2005.jpg,lightning
artifacts/data_ingestion/data/dataset\lightning\2012.jpg,lightning
artifacts/data_ingestion/data/dataset\sandstorm\2991.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rain\1587.jpg,rain
artifacts/data_ingestion/data/dataset\sandstorm\3118.jpg,sandstorm
artifacts/data_ingestion/data/dataset\frost\4040.jpg,frost
artifacts/data_ingestion/data/dataset\hail\0567.jpg,hail
artifacts/data_ingestion/data/dataset\fogsmog\4864.jpg,fogsmog
artifacts/data_ingestion/data/dataset\rain\1825.jpg,rain
artifacts/data_ingestion/data/dataset\sandstorm\3557.jpg,sandstorm
artifacts/data_ingestion/data/dataset\snow\0970.jpg,snow
artifacts/data_ingestion/data/dataset\dew\2741.jpg,dew
artifacts/data_ingestion/data/dataset\rainbow\0784.jpg,rainbow
artifacts/data_ingestion/data/dataset\frost\3694.jpg,frost
artifacts/data_ingestion/data/dataset\rime\5728.jpg,rime
artifacts/data_ingestion/data/dataset\glaze\6221.jpg,glaze
artifacts/data_ingestion/data/dataset\fogsmog\4126.jpg,fogsmog
artifacts/data_ingestion/data/dataset\dew\2499.jpg,dew
artifacts/data_ingestion/data/dataset\snow\0903.jpg,snow
artifacts/data_ingestion/data/dataset\rain\1499.jpg,rain
artifacts/data_ingestion/data/dataset\lightning\2184.jpg,lightning
artifacts/data_ingestion/data/dataset\hail\0363.jpg,hail
artifacts/data_ingestion/data/dataset\frost\3925.jpg,frost
artifacts/data_ingestion/data/dataset\snow\0997.jpg,snow
artifacts/data_ingestion/data/dataset\glaze\6339.jpg,glaze
artifacts/data_ingestion/data/dataset\hail\0024.jpg,hail
artifacts/data_ingestion/data/dataset\fogsmog\4650.jpg,fogsmog
artifacts/data_ingestion/data/dataset\frost\3826.jpg,frost
artifacts/data_ingestion/data/dataset\lightning\2009.jpg,lightning
artifacts/data_ingestion/data/dataset\lightning\1927.jpg,lightning
artifacts/data_ingestion/data/dataset\dew\2280.jpg,dew
artifacts/data_ingestion/data/dataset\sandstorm\2998.jpg,sandstorm
artifacts/data_ingestion/data/dataset\glaze\6455.jpg,glaze
artifacts/data_ingestion/data/dataset\hail\0141.jpg,hail
artifacts/data_ingestion/data/dataset\fogsmog\4552.jpg,fogsmog
artifacts/data_ingestion/data/dataset\lightning\2154.jpg,lightning
artifacts/data_ingestion/data/dataset\rainbow\0680.jpg,rainbow
artifacts/data_ingestion/data/dataset\fogsmog\4144.jpg,fogsmog
artifacts/data_ingestion/data/dataset\hail\0487.jpg,hail
artifacts/data_ingestion/data/dataset\rainbow\0688.jpg,rainbow
artifacts/data_ingestion/data/dataset\rime\5622.jpg,rime
artifacts/data_ingestion/data/dataset\rain\1067.jpg,rain
artifacts/data_ingestion/data/dataset\sandstorm\3230.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rain\1103.jpg,rain
artifacts/data_ingestion/data/dataset\glaze\6638.jpg,glaze
artifacts/data_ingestion/data/dataset\lightning\2156.jpg,lightning
artifacts/data_ingestion/data/dataset\rime\5465.jpg,rime
artifacts/data_ingestion/data/dataset\snow\0926.jpg,snow
artifacts/data_ingestion/data/dataset\frost\4012.jpg,frost
artifacts/data_ingestion/data/dataset\glaze\6648.jpg,glaze
artifacts/data_ingestion/data/dataset\dew\2632.jpg,dew
artifacts/data_ingestion/data/dataset\rime\5618.jpg,rime
artifacts/data_ingestion/data/dataset\hail\0426.jpg,hail
artifacts/data_ingestion/data/dataset\hail\0149.jpg,hail
artifacts/data_ingestion/data/dataset\fogsmog\4492.jpg,fogsmog
artifacts/data_ingestion/data/dataset\snow\0907.jpg,snow
artifacts/data_ingestion/data/dataset\rain\1561.jpg,rain
artifacts/data_ingestion/data/dataset\frost\3745.jpg,frost
artifacts/data_ingestion/data/dataset\fogsmog\4497.jpg,fogsmog
artifacts/data_ingestion/data/dataset\frost\4009.jpg,frost
artifacts/data_ingestion/data/dataset\rime\5289.jpg,rime
artifacts/data_ingestion/data/dataset\snow\1129.jpg,snow
artifacts/data_ingestion/data/dataset\frost\4072.jpg,frost
artifacts/data_ingestion/data/dataset\glaze\6105.jpg,glaze
artifacts/data_ingestion/data/dataset\sandstorm\3079.jpg,sandstorm
artifacts/data_ingestion/data/dataset\fogsmog\4402.jpg,fogsmog
artifacts/data_ingestion/data/dataset\fogsmog\4600.jpg,fogsmog
artifacts/data_ingestion/data/dataset\dew\2403.jpg,dew
artifacts/data_ingestion/data/dataset\snow\0919.jpg,snow
artifacts/data_ingestion/data/dataset\rainbow\0767.jpg,rainbow
artifacts/data_ingestion/data/dataset\lightning\2130.jpg,lightning
artifacts/data_ingestion/data/dataset\fogsmog\4704.jpg,fogsmog
artifacts/data_ingestion/data/dataset\fogsmog\4287.jpg,fogsmog
artifacts/data_ingestion/data/dataset\sandstorm\3389.jpg,sandstorm
artifacts/data_ingestion/data/dataset\frost\3669.jpg,frost
artifacts/data_ingestion/data/dataset\dew\2495.jpg,dew
artifacts/data_ingestion/data/dataset\rime\5987.jpg,rime
artifacts/data_ingestion/data/dataset\hail\0109.jpg,hail
artifacts/data_ingestion/data/dataset\frost\4008.jpg,frost
artifacts/data_ingestion/data/dataset\glaze\6534.jpg,glaze
artifacts/data_ingestion/data/dataset\lightning\2106.jpg,lightning
artifacts/data_ingestion/data/dataset\rainbow\0628.jpg,rainbow
artifacts/data_ingestion/data/dataset\snow\1061.jpg,snow
artifacts/data_ingestion/data/dataset\sandstorm\2987.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rime\5456.jpg,rime
artifacts/data_ingestion/data/dataset\rime\5949.jpg,rime
artifacts/data_ingestion/data/dataset\lightning\1917.jpg,lightning
artifacts/data_ingestion/data/dataset\rain\1600.jpg,rain
artifacts/data_ingestion/data/dataset\hail\0472.jpg,hail
artifacts/data_ingestion/data/dataset\rime\5229.jpg,rime
artifacts/data_ingestion/data/dataset\rain\1467.jpg,rain
artifacts/data_ingestion/data/dataset\rain\109.jpg,rain
artifacts/data_ingestion/data/dataset\sandstorm\3129.jpg,sandstorm
artifacts/data_ingestion/data/dataset\frost\3731.jpg,frost
artifacts/data_ingestion/data/dataset\dew\2884.jpg,dew
artifacts/data_ingestion/data/dataset\rime\5039.jpg,rime
artifacts/data_ingestion/data/dataset\glaze\6352.jpg,glaze
artifacts/data_ingestion/data/dataset\hail\0394.jpg,hail
artifacts/data_ingestion/data/dataset\fogsmog\4371.jpg,fogsmog
artifacts/data_ingestion/data/dataset\snow\1425.jpg,snow
artifacts/data_ingestion/data/dataset\frost\3641.jpg,frost
artifacts/data_ingestion/data/dataset\snow\1418.jpg,snow
artifacts/data_ingestion/data/dataset\dew\2766.jpg,dew
artifacts/data_ingestion/data/dataset\frost\3623.jpg,frost
artifacts/data_ingestion/data/dataset\hail\0007.jpg,hail
artifacts/data_ingestion/data/dataset\hail\0561.jpg,hail
artifacts/data_ingestion/data/dataset\glaze\6635.jpg,glaze
artifacts/data_ingestion/data/dataset\fogsmog\4693.jpg,fogsmog
artifacts/data_ingestion/data/dataset\hail\0002.jpg,hail
artifacts/data_ingestion/data/dataset\fogsmog\4394.jpg,fogsmog
artifacts/data_ingestion/data/dataset\snow\0939.jpg,snow
artifacts/data_ingestion/data/dataset\rain\1724.jpg,rain
artifacts/data_ingestion/data/dataset\rainbow\0822.jpg,rainbow
artifacts/data_ingestion/data/dataset\snow\1307.jpg,snow
artifacts/data_ingestion/data/dataset\hail\0526.jpg,hail
artifacts/data_ingestion/data/dataset\lightning\1961.jpg,lightning
artifacts/data_ingestion/data/dataset\glaze\6305.jpg,glaze
artifacts/data_ingestion/data/dataset\snow\1193.jpg,snow
artifacts/data_ingestion/data/dataset\rainbow\0760.jpg,rainbow
artifacts/data_ingestion/data/dataset\lightning\1941.jpg,lightning
artifacts/data_ingestion/data/dataset\snow\1155.jpg,snow
artifacts/data_ingestion/data/dataset\fogsmog\4519.jpg,fogsmog
artifacts/data_ingestion/data/dataset\rime\5785.jpg,rime
artifacts/data_ingestion/data/dataset\frost\3861.jpg,frost
artifacts/data_ingestion/data/dataset\hail\0479.jpg,hail
artifacts/data_ingestion/data/dataset\sandstorm\3072.jpg,sandstorm
artifacts/data_ingestion/data/dataset\snow\1079.jpg,snow
artifacts/data_ingestion/data/dataset\hail\0296.jpg,hail
artifacts/data_ingestion/data/dataset\rime\5070.jpg,rime
artifacts/data_ingestion/data/dataset\sandstorm\2947.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rainbow\0666.jpg,rainbow
artifacts/data_ingestion/data/dataset\sandstorm\2956.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rainbow\0820.jpg,rainbow
artifacts/data_ingestion/data/dataset\hail\0431.jpg,hail
artifacts/data_ingestion/data/dataset\dew\2453.jpg,dew
artifacts/data_ingestion/data/dataset\hail\0261.jpg,hail
artifacts/data_ingestion/data/dataset\rime\5957.jpg,rime
artifacts/data_ingestion/data/dataset\sandstorm\3531.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rainbow\0722.jpg,rainbow
artifacts/data_ingestion/data/dataset\rainbow\0751.jpg,rainbow
artifacts/data_ingestion/data/dataset\hail\0367.jpg,hail
artifacts/data_ingestion/data/dataset\glaze\6606.jpg,glaze
artifacts/data_ingestion/data/dataset\hail\0329.jpg,hail
artifacts/data_ingestion/data/dataset\lightning\2061.jpg,lightning
artifacts/data_ingestion/data/dataset\lightning\1920.jpg,lightning
artifacts/data_ingestion/data/dataset\lightning\1947.jpg,lightning
artifacts/data_ingestion/data/dataset\lightning\2111.jpg,lightning
artifacts/data_ingestion/data/dataset\fogsmog\4575.jpg,fogsmog
artifacts/data_ingestion/data/dataset\sandstorm\2992.jpg,sandstorm
artifacts/data_ingestion/data/dataset\snow\0840.jpg,snow
